PT08.S1(CO),PT08.S2(NMHC),PT08.S3(NOx),PT08.S4(NO2),PT08.S5(O3),T,RH,AH,DateTime,Season
1287.0,1078.0,949.0,1660.0,1061.0,16.3,35.7,0.656,2004-03-12 14:00:00,winter
1353.0,1122.0,922.0,1740.0,1139.0,15.8,37.0,0.661,2004-03-12 15:00:00,winter
1309.0,1073.0,954.0,1657.0,1112.0,15.9,37.2,0.6657,2004-03-12 16:00:00,winter
1274.0,1041.0,1006.0,1610.0,994.0,16.9,34.3,0.6549,2004-03-12 17:00:00,winter
1510.0,1277.0,812.0,1910.0,1410.0,15.1,39.6,0.6766,2004-03-12 18:00:00,winter
1525.0,1246.0,821.0,1847.0,1448.0,14.4,43.4,0.7084,2004-03-12 19:00:00,winter
1075.0,1610.0,624.0,1456.2645979312647,1887.0,12.9,50.5,0.7478,2004-03-12 20:00:00,winter
1598.0,1299.0,752.0,1941.0,1627.0,12.1,53.3,0.7536,2004-03-12 21:00:00,winter
1484.0,1127.0,839.0,1723.0,1491.0,11.0,59.1,0.774,2004-03-12 22:00:00,winter
1075.0,1346.0,741.0,2062.0,1657.0,9.7,64.6,0.7771,2004-03-12 23:00:00,winter
1280.0,964.0,963.0,1544.0,1285.0,9.5,64.1,0.7597,2004-03-13 00:00:00,winter
1196.0,873.0,1071.0,1463.0,1144.0,9.1,63.9,0.7423,2004-03-13 01:00:00,winter
1184.0,782.0,1176.0,1365.0,1043.0,8.8,63.9,0.7256,2004-03-13 02:00:00,winter
1172.0,783.0,1179.0,1380.0,996.0,7.8,67.5,0.7173,2004-03-13 03:00:00,winter
1147.0,821.0,1132.0,1412.0,992.0,7.0,71.1,0.7158,2004-03-13 04:00:00,winter
978.0,625.0,818.0,1274.0,819.0,8.3,63.6,0.6982,2004-03-13 05:00:00,winter
1100.0,646.0,818.0,1268.0,835.0,7.2,67.5,0.6887,2004-03-13 06:00:00,winter
1112.0,770.0,1228.0,1409.0,940.0,6.3,71.9,0.6932,2004-03-13 07:00:00,winter
1336.0,1043.0,935.0,1678.0,1192.0,6.5,71.6,0.6945,2004-03-13 08:00:00,winter
1408.0,1153.0,830.0,1777.0,1411.0,9.6,59.7,0.7124,2004-03-13 09:00:00,winter
1447.0,1081.0,869.0,1667.0,1465.0,12.4,51.2,0.7335,2004-03-13 10:00:00,winter
1542.0,1184.0,808.0,1780.0,1583.0,15.6,42.2,0.7451,2004-03-13 11:00:00,winter
1451.0,1117.0,875.0,1679.0,1387.0,18.4,33.8,0.709,2004-03-13 12:00:00,winter
1328.0,1059.0,987.0,1600.0,1101.0,19.4,31.3,0.695,2004-03-13 13:00:00,winter
1207.0,924.0,1088.0,1488.0,850.0,18.0,34.8,0.7127,2004-03-13 14:00:00,winter
1240.0,947.0,1049.0,1532.0,947.0,18.4,33.6,0.7042,2004-03-13 15:00:00,winter
1306.0,987.0,1004.0,1554.0,1078.0,17.6,35.1,0.7012,2004-03-13 16:00:00,winter
1326.0,1000.0,976.0,1602.0,1084.0,16.7,37.8,0.7117,2004-03-13 17:00:00,winter
1473.0,1163.0,831.0,1779.0,1395.0,16.1,41.0,0.7451,2004-03-13 18:00:00,winter
1609.0,1286.0,758.0,1922.0,1612.0,15.8,42.4,0.7569,2004-03-13 19:00:00,winter
1611.0,1274.0,754.0,1915.0,1697.0,15.7,44.1,0.7786,2004-03-13 20:00:00,winter
1621.0,1247.0,762.0,1860.0,1886.0,15.3,46.8,0.8091,2004-03-13 21:00:00,winter
1444.0,1089.0,844.0,1748.0,1624.0,14.6,48.6,0.806,2004-03-13 22:00:00,winter
1418.0,1010.0,892.0,1603.0,1536.0,14.7,49.3,0.8193,2004-03-13 23:00:00,winter
1534.0,1013.0,889.0,1611.0,1535.0,13.9,53.6,0.8498,2004-03-14 00:00:00,winter
1484.0,1045.0,880.0,1624.0,1530.0,14.6,51.5,0.8536,2004-03-14 01:00:00,winter
1367.0,925.0,953.0,1543.0,1337.0,12.5,58.9,0.8537,2004-03-14 02:00:00,winter
1344.0,968.0,921.0,1620.0,1278.0,11.6,63.4,0.8674,2004-03-14 03:00:00,winter
1130.0,773.0,1130.0,1452.0,1051.0,12.1,61.1,0.8603,2004-03-14 04:00:00,winter
1062.0,691.0,1272.0,1377.0,929.0,11.5,63.1,0.8533,2004-03-14 05:00:00,winter
1076.0,618.0,1395.0,1333.0,872.0,11.6,62.2,0.8473,2004-03-14 06:00:00,winter
1028.0,615.0,1384.0,1340.0,853.0,10.4,67.6,0.853,2004-03-14 07:00:00,winter
1155.0,722.0,1225.0,1414.0,959.0,11.6,62.7,0.853,2004-03-14 08:00:00,winter
1235.0,828.0,1055.0,1527.0,1093.0,12.4,60.0,0.8627,2004-03-14 09:00:00,winter
1332.0,923.0,952.0,1614.0,1225.0,14.5,53.1,0.8728,2004-03-14 10:00:00,winter
1445.0,1009.0,878.0,1696.0,1355.0,16.9,46.1,0.8789,2004-03-14 11:00:00,winter
1416.0,1002.0,907.0,1677.0,1262.0,19.3,38.3,0.8474,2004-03-14 12:00:00,winter
1281.0,880.0,1084.0,1525.0,980.0,21.2,31.4,0.7812,2004-03-14 13:00:00,winter
1207.0,879.0,1104.0,1490.0,872.0,21.4,30.2,0.7616,2004-03-14 14:00:00,winter
1258.0,906.0,1081.0,1511.0,900.0,21.9,29.0,0.7525,2004-03-14 15:00:00,winter
1458.0,1045.0,974.0,1646.0,1099.0,22.2,28.4,0.7516,2004-03-14 16:00:00,winter
1438.0,1051.0,943.0,1668.0,1206.0,21.3,30.8,0.7696,2004-03-14 17:00:00,winter
1478.0,1055.0,929.0,1671.0,1262.0,19.7,36.7,0.8307,2004-03-14 18:00:00,winter
1075.0,1312.0,753.0,1993.0,1698.0,18.4,41.7,0.8732,2004-03-14 19:00:00,winter
1075.0,1381.0,681.0,2103.0,1905.0,17.6,46.1,0.921,2004-03-14 20:00:00,winter
1560.0,1140.0,784.0,1818.0,1648.0,16.7,49.6,0.932,2004-03-14 21:00:00,winter
1324.0,940.0,924.0,1587.0,1423.0,16.3,51.0,0.9341,2004-03-14 22:00:00,winter
1349.0,933.0,933.0,1617.0,1349.0,14.7,55.9,0.9314,2004-03-14 23:00:00,winter
1239.0,872.0,985.0,1547.0,1250.0,14.8,54.7,0.9164,2004-03-15 00:00:00,winter
1239.0,853.0,1010.0,1543.0,1174.0,14.0,57.0,0.9094,2004-03-15 01:00:00,winter
1224.0,855.0,998.0,1566.0,1149.0,13.4,61.3,0.9361,2004-03-15 02:00:00,winter
1078.0,734.0,1128.0,1487.0,1021.0,12.6,63.5,0.923,2004-03-15 03:00:00,winter
1078.0,711.0,1150.0,1468.0,1013.0,12.3,65.4,0.9351,2004-03-15 04:00:00,winter
1075.0,703.0,1156.0,1464.0,1010.0,11.9,67.4,0.9375,2004-03-15 05:00:00,winter
1157.0,830.0,1030.0,1584.0,1083.0,11.4,70.5,0.9475,2004-03-15 06:00:00,winter
1314.0,966.0,897.0,1710.0,1235.0,11.3,70.2,0.9401,2004-03-15 07:00:00,winter
1075.0,1451.0,652.0,1456.2645979312647,1680.0,12.4,63.9,0.917,2004-03-15 08:00:00,winter
1075.0,923.0,537.0,1456.2645979312647,983.0,14.8,54.3,0.9076,2004-03-15 09:00:00,winter
1075.0,1470.0,622.0,2262.0,1973.0,17.4,45.6,0.8993,2004-03-15 10:00:00,winter
1564.0,1300.0,710.0,2029.0,1798.0,19.8,38.5,0.8801,2004-03-15 11:00:00,winter
1430.0,1120.0,831.0,1783.0,1522.0,22.0,34.1,0.8904,2004-03-15 12:00:00,winter
1417.0,1146.0,830.0,1831.0,1404.0,23.3,32.2,0.9096,2004-03-15 13:00:00,winter
1400.0,1162.0,838.0,1829.0,1263.0,23.9,30.0,0.8757,2004-03-15 14:00:00,winter
1317.0,1053.0,926.0,1707.0,1137.0,24.4,28.9,0.8736,2004-03-15 15:00:00,winter
1318.0,1033.0,950.0,1675.0,1068.0,24.4,29.4,0.8848,2004-03-15 16:00:00,winter
1445.0,1141.0,857.0,1824.0,1252.0,23.8,31.3,0.9137,2004-03-15 17:00:00,winter
1075.0,1601.0,631.0,1456.2645979312647,1843.0,22.5,35.4,0.9547,2004-03-15 18:00:00,winter
1075.0,923.0,542.0,1456.2645979312647,983.0,20.4,42.5,1.0086,2004-03-15 19:00:00,winter
1075.0,1573.0,565.0,1456.2645979312647,1992.0,18.3,52.6,1.0945,2004-03-15 20:00:00,winter
1595.0,1294.0,678.0,2058.0,1707.0,16.7,57.4,1.0786,2004-03-15 21:00:00,winter
1439.0,1159.0,764.0,1856.0,1494.0,15.7,60.2,1.0654,2004-03-15 22:00:00,winter
1142.0,852.0,1008.0,1547.0,1164.0,15.3,61.4,1.058,2004-03-15 23:00:00,winter
1304.0,1019.0,852.0,1731.0,1272.0,14.1,65.7,1.0494,2004-03-16 00:00:00,winter
1074.0,784.0,1098.0,1483.0,1040.0,14.8,60.6,1.0148,2004-03-16 01:00:00,winter
968.0,640.0,1320.0,1386.0,867.0,14.8,59.2,0.9879,2004-03-16 02:00:00,winter
929.0,608.0,1376.0,1364.0,826.0,13.6,62.1,0.9636,2004-03-16 03:00:00,winter
941.0,626.0,1316.0,1373.0,840.0,12.3,66.2,0.945,2004-03-16 04:00:00,winter
937.0,585.0,818.0,1348.0,793.0,12.8,63.2,0.9283,2004-03-16 05:00:00,winter
1017.0,681.0,1246.0,1418.0,870.0,11.2,68.5,0.9081,2004-03-16 06:00:00,winter
1171.0,770.0,1162.0,1467.0,930.0,11.0,66.5,0.8705,2004-03-16 07:00:00,winter
1541.0,1185.0,770.0,1889.0,1407.0,11.7,63.7,0.8719,2004-03-16 08:00:00,winter
1539.0,1287.0,698.0,2055.0,1507.0,13.6,56.3,0.8743,2004-03-16 09:00:00,winter
1075.0,1431.0,628.0,2211.0,1843.0,17.8,42.9,0.8672,2004-03-16 10:00:00,winter
1571.0,1297.0,730.0,1973.0,1729.0,21.4,33.3,0.8417,2004-03-16 11:00:00,winter
1452.0,1250.0,776.0,1868.0,1583.0,24.4,27.4,0.8231,2004-03-16 12:00:00,winter
1579.0,1359.0,724.0,1998.0,1671.0,25.3,26.1,0.8264,2004-03-16 13:00:00,winter
1466.0,1309.0,773.0,1897.0,1491.0,25.8,23.2,0.7589,2004-03-16 14:00:00,winter
1280.0,1136.0,893.0,1675.0,1240.0,27.0,20.2,0.7094,2004-03-16 15:00:00,winter
1407.0,1197.0,905.0,1759.0,1313.0,28.2,18.6,0.7014,2004-03-16 16:00:00,winter
1389.0,1173.0,898.0,1739.0,1363.0,28.0,19.1,0.7098,2004-03-16 17:00:00,winter
1447.0,1235.0,859.0,1778.0,1296.0,23.9,25.7,0.7519,2004-03-16 18:00:00,winter
1551.0,1271.0,800.0,1875.0,1432.0,21.3,34.8,0.873,2004-03-16 19:00:00,winter
1474.0,1173.0,854.0,1776.0,1432.0,20.4,36.7,0.8704,2004-03-16 20:00:00,winter
1075.0,1426.0,700.0,2106.0,983.0,19.0,41.3,0.9007,2004-03-16 21:00:00,winter
1379.0,1101.0,818.0,1710.0,1602.0,17.9,45.9,0.9342,2004-03-16 22:00:00,winter
1201.0,943.0,935.0,1560.0,1362.0,16.7,48.9,0.9226,2004-03-16 23:00:00,winter
1205.0,925.0,922.0,1547.0,1314.0,15.5,52.9,0.9271,2004-03-17 00:00:00,winter
1072.0,784.0,1066.0,1442.0,1114.0,15.5,51.9,0.9059,2004-03-17 01:00:00,winter
998.0,714.0,1169.0,1383.0,992.0,14.1,55.6,0.891,2004-03-17 02:00:00,winter
933.0,625.0,1292.0,1332.0,884.0,13.1,57.9,0.8666,2004-03-17 03:00:00,winter
883.0,577.0,1396.0,1303.0,808.0,12.7,57.9,0.8447,2004-03-17 04:00:00,winter
869.0,554.0,818.0,1268.0,667.0,11.8,58.0,0.8026,2004-03-17 05:00:00,winter
891.0,576.0,818.0,1289.0,733.0,11.9,57.4,0.7978,2004-03-17 06:00:00,winter
1173.0,878.0,1038.0,1556.0,1052.0,9.9,65.2,0.7956,2004-03-17 07:00:00,winter
1587.0,1334.0,702.0,1999.0,1534.0,11.1,60.2,0.7958,2004-03-17 08:00:00,winter
1075.0,923.0,553.0,1456.2645979312647,1931.0,14.1,50.0,0.802,2004-03-17 09:00:00,winter
1522.0,1331.0,703.0,2026.0,1734.0,17.7,40.1,0.8048,2004-03-17 10:00:00,winter
1438.0,1161.0,819.0,1782.0,1595.0,21.1,33.4,0.8265,2004-03-17 11:00:00,winter
1393.0,1067.0,905.0,1654.0,1490.0,24.3,28.3,0.8471,2004-03-17 12:00:00,winter
1452.0,1152.0,861.0,1747.0,1508.0,25.6,25.6,0.8254,2004-03-17 13:00:00,winter
1389.0,1108.0,887.0,1712.0,1334.0,25.9,25.9,0.8503,2004-03-17 14:00:00,winter
1207.0,994.0,1013.0,1520.0,1045.0,26.8,18.7,0.65,2004-03-17 15:00:00,winter
1365.0,1154.0,940.0,1679.0,1221.0,29.3,15.8,0.6309,2004-03-17 16:00:00,winter
1247.0,1060.0,1032.0,1525.0,1069.0,28.5,14.9,0.5708,2004-03-17 17:00:00,winter
1557.0,1478.0,793.0,1981.0,1569.0,25.9,16.0,0.5237,2004-03-17 18:00:00,winter
1075.0,923.0,617.0,1456.2645979312647,983.0,23.1,26.5,0.7403,2004-03-17 19:00:00,winter
1075.0,923.0,597.0,1456.2645979312647,983.0,20.5,38.2,0.9133,2004-03-17 20:00:00,winter
1075.0,1485.0,653.0,2174.0,983.0,19.1,42.6,0.9294,2004-03-17 21:00:00,winter
1444.0,1150.0,770.0,1727.0,1727.0,17.2,44.1,0.8558,2004-03-17 22:00:00,winter
1488.0,1171.0,731.0,1778.0,1705.0,16.0,50.9,0.9206,2004-03-17 23:00:00,winter
1371.0,1083.0,796.0,1669.0,1551.0,14.8,53.9,0.9024,2004-03-18 00:00:00,winter
1161.0,904.0,947.0,1502.0,1240.0,14.3,55.4,0.8975,2004-03-18 01:00:00,winter
1064.0,787.0,1057.0,1407.0,1115.0,14.8,52.1,0.8686,2004-03-18 02:00:00,winter
970.0,687.0,1196.0,1351.0,969.0,13.9,53.9,0.8501,2004-03-18 03:00:00,winter
954.0,645.0,1260.0,1334.0,925.0,11.6,61.9,0.8442,2004-03-18 04:00:00,winter
931.0,623.0,1293.0,1307.0,828.0,12.0,58.9,0.8233,2004-03-18 05:00:00,winter
938.0,650.0,1251.0,1333.0,893.0,10.9,62.1,0.8113,2004-03-18 06:00:00,winter
1166.0,885.0,1005.0,1551.0,1075.0,10.6,63.3,0.8067,2004-03-18 07:00:00,winter
1075.0,1384.0,667.0,2094.0,1610.0,11.5,60.0,0.8117,2004-03-18 08:00:00,winter
1075.0,923.0,541.0,1456.2645979312647,983.0,14.3,50.6,0.8186,2004-03-18 09:00:00,winter
1617.0,1333.0,686.0,2010.0,1819.0,17.8,40.5,0.821,2004-03-18 10:00:00,winter
1473.0,1127.0,831.0,1752.0,1568.0,20.8,34.4,0.8365,2004-03-18 11:00:00,winter
1379.0,1068.0,899.0,1663.0,1374.0,23.8,28.2,0.8219,2004-03-18 12:00:00,winter
1385.0,1056.0,891.0,1648.0,1268.0,24.2,28.7,0.8515,2004-03-18 13:00:00,winter
1379.0,1087.0,901.0,1660.0,1144.0,25.2,24.9,0.7829,2004-03-18 14:00:00,winter
1322.0,1129.0,934.0,1639.0,1109.0,27.0,17.8,0.6275,2004-03-18 15:00:00,winter
1496.0,1205.0,822.0,1767.0,1347.0,27.1,23.1,0.818,2004-03-18 16:00:00,winter
1409.0,1131.0,873.0,1689.0,1206.0,25.8,23.9,0.7832,2004-03-18 17:00:00,winter
1513.0,1338.0,764.0,1957.0,1397.0,23.0,26.8,0.7446,2004-03-18 18:00:00,winter
1075.0,1464.0,683.0,2118.0,1588.0,20.7,31.1,0.7523,2004-03-18 19:00:00,winter
1075.0,1453.0,684.0,2051.0,1569.0,18.6,36.2,0.7676,2004-03-18 20:00:00,winter
1430.0,1121.0,814.0,1732.0,1322.0,16.0,48.4,0.8768,2004-03-18 21:00:00,winter
1333.0,989.0,885.0,1621.0,1194.0,14.5,57.8,0.9456,2004-03-18 22:00:00,winter
1262.0,911.0,948.0,1545.0,1062.0,13.1,64.2,0.9606,2004-03-18 23:00:00,winter
1287.0,936.0,918.0,1606.0,1040.0,12.0,69.7,0.9735,2004-03-19 00:00:00,winter
1134.0,840.0,1021.0,1501.0,917.0,11.9,71.1,0.9915,2004-03-19 01:00:00,winter
999.0,688.0,1229.0,1380.0,594.0,12.5,69.3,1.0029,2004-03-19 02:00:00,winter
961.0,622.0,1382.0,1301.0,430.0,12.5,67.5,0.9768,2004-03-19 03:00:00,winter
934.0,569.0,818.0,1280.0,397.0,12.3,67.7,0.9665,2004-03-19 04:00:00,winter
913.0,525.0,818.0,1260.0,370.0,12.5,66.8,0.962,2004-03-19 05:00:00,winter
969.0,607.0,1373.0,1324.0,438.0,12.3,66.3,0.9487,2004-03-19 06:00:00,winter
1182.0,845.0,1054.0,1539.0,704.0,12.4,64.9,0.9332,2004-03-19 07:00:00,winter
1075.0,1372.0,671.0,2144.0,1476.0,13.0,61.6,0.9209,2004-03-19 08:00:00,winter
1075.0,1582.0,575.0,1456.2645979312647,1716.0,13.6,58.8,0.912,2004-03-19 09:00:00,winter
1427.0,1275.0,701.0,1980.0,1398.0,13.9,57.1,0.9032,2004-03-19 10:00:00,winter
1390.0,1191.0,759.0,1879.0,1268.0,14.5,54.4,0.8917,2004-03-19 11:00:00,winter
1283.0,1117.0,813.0,1751.0,1188.0,15.5,50.1,0.8744,2004-03-19 12:00:00,winter
1304.0,1157.0,793.0,1801.0,1171.0,16.1,47.6,0.8655,2004-03-19 13:00:00,winter
1364.0,1202.0,771.0,1875.0,1250.0,16.3,47.1,0.864,2004-03-19 14:00:00,winter
1410.0,1268.0,724.0,1957.0,1344.0,16.4,47.5,0.8791,2004-03-19 15:00:00,winter
1476.0,1280.0,708.0,1955.0,1378.0,16.1,50.2,0.9094,2004-03-19 16:00:00,winter
1522.0,1320.0,690.0,2005.0,1435.0,16.0,50.7,0.9142,2004-03-19 17:00:00,winter
1442.0,1301.0,704.0,1952.0,1372.0,15.8,50.3,0.8989,2004-03-19 18:00:00,winter
1469.0,1344.0,677.0,1997.0,1471.0,15.5,50.6,0.884,2004-03-19 19:00:00,winter
1467.0,1292.0,698.0,1942.0,1439.0,15.4,51.4,0.8956,2004-03-19 20:00:00,winter
1421.0,1202.0,748.0,1854.0,1429.0,15.2,53.1,0.9117,2004-03-19 21:00:00,winter
1175.0,945.0,904.0,1604.0,1081.0,14.7,57.6,0.9573,2004-03-19 22:00:00,winter
1215.0,912.0,948.0,1547.0,993.0,14.2,58.3,0.938,2004-03-19 23:00:00,winter
1127.0,802.0,1064.0,1447.0,837.0,13.8,57.9,0.9085,2004-03-20 00:00:00,winter
1090.0,773.0,1105.0,1429.0,761.0,13.9,55.9,0.8842,2004-03-20 01:00:00,winter
1017.0,718.0,1182.0,1382.0,650.0,13.9,55.6,0.8765,2004-03-20 02:00:00,winter
997.0,677.0,1252.0,1359.0,591.0,13.8,55.1,0.8666,2004-03-20 03:00:00,winter
945.0,646.0,1308.0,1332.0,505.0,13.8,54.6,0.8574,2004-03-20 04:00:00,winter
956.0,661.0,1260.0,1351.0,518.0,13.6,55.1,0.856,2004-03-20 05:00:00,winter
966.0,622.0,1317.0,1342.0,571.0,13.6,59.0,0.9129,2004-03-20 06:00:00,winter
1064.0,728.0,1161.0,1461.0,842.0,13.5,58.4,0.896,2004-03-20 07:00:00,winter
1300.0,935.0,902.0,1623.0,1145.0,13.8,58.0,0.9083,2004-03-20 08:00:00,winter
1348.0,998.0,834.0,1689.0,1218.0,14.6,53.1,0.8765,2004-03-20 09:00:00,winter
1425.0,1068.0,776.0,1764.0,1341.0,15.0,52.3,0.8881,2004-03-20 10:00:00,winter
1474.0,1061.0,768.0,1768.0,1406.0,15.4,52.1,0.9046,2004-03-20 11:00:00,winter
1490.0,1039.0,782.0,1757.0,1422.0,16.3,50.0,0.9158,2004-03-20 12:00:00,winter
1495.0,1040.0,809.0,1735.0,1373.0,17.1,47.9,0.9281,2004-03-20 13:00:00,winter
1376.0,953.0,900.0,1636.0,1153.0,19.0,42.9,0.937,2004-03-20 14:00:00,winter
1305.0,884.0,980.0,1573.0,927.0,19.5,42.3,0.9476,2004-03-20 15:00:00,winter
1283.0,844.0,1036.0,1539.0,766.0,19.5,42.3,0.9493,2004-03-20 16:00:00,winter
1392.0,967.0,930.0,1649.0,941.0,19.1,43.8,0.9556,2004-03-20 17:00:00,winter
1452.0,1063.0,856.0,1774.0,1146.0,18.5,46.3,0.9744,2004-03-20 18:00:00,winter
1633.0,1199.0,734.0,1919.0,1417.0,17.4,51.6,1.0159,2004-03-20 19:00:00,winter
1625.0,1191.0,733.0,1885.0,1442.0,17.1,51.3,0.9914,2004-03-20 20:00:00,winter
1535.0,1108.0,785.0,1820.0,1323.0,16.4,53.8,0.9964,2004-03-20 21:00:00,winter
1323.0,973.0,864.0,1712.0,1125.0,16.2,55.4,1.0132,2004-03-20 22:00:00,winter
1309.0,937.0,905.0,1672.0,1036.0,15.9,57.7,1.0356,2004-03-20 23:00:00,winter
1456.0,999.0,835.0,1714.0,1202.0,15.7,58.6,1.0396,2004-03-21 00:00:00,spring
1300.0,872.0,941.0,1577.0,1054.0,15.1,60.9,1.0398,2004-03-21 01:00:00,spring
1203.0,823.0,1004.0,1526.0,903.0,15.6,56.6,0.9951,2004-03-21 02:00:00,spring
1195.0,836.0,987.0,1554.0,885.0,15.2,57.9,0.9941,2004-03-21 03:00:00,spring
1117.0,802.0,1029.0,1539.0,818.0,15.4,57.8,1.0021,2004-03-21 04:00:00,spring
1062.0,711.0,1136.0,1461.0,700.0,14.9,60.6,1.0196,2004-03-21 05:00:00,spring
947.0,594.0,1300.0,1390.0,580.0,14.5,63.0,1.0316,2004-03-21 06:00:00,spring
1065.0,687.0,1143.0,1492.0,815.0,14.2,66.2,1.063,2004-03-21 07:00:00,spring
1155.0,734.0,1062.0,1528.0,1035.0,14.5,65.3,1.0704,2004-03-21 08:00:00,spring
1220.0,782.0,996.0,1560.0,1067.0,15.3,62.1,1.073,2004-03-21 09:00:00,spring
1301.0,862.0,914.0,1633.0,1114.0,16.3,59.0,1.0868,2004-03-21 10:00:00,spring
1279.0,870.0,911.0,1646.0,1000.0,18.9,49.6,1.07,2004-03-21 11:00:00,spring
1267.0,883.0,953.0,1617.0,906.0,19.4,46.1,1.0249,2004-03-21 12:00:00,spring
1239.0,848.0,981.0,1568.0,822.0,20.8,41.6,1.0091,2004-03-21 13:00:00,spring
1128.0,742.0,1144.0,1507.0,610.0,21.4,40.3,1.0126,2004-03-21 14:00:00,spring
1243.0,916.0,962.0,1669.0,657.0,21.2,39.3,0.9791,2004-03-21 15:00:00,spring
1208.0,853.0,1060.0,1506.0,647.0,20.3,38.0,0.8942,2004-03-21 16:00:00,spring
1306.0,938.0,961.0,1607.0,762.0,19.4,41.3,0.9206,2004-03-21 17:00:00,spring
