PT08.S1(CO),PT08.S2(NMHC),PT08.S3(NOx),PT08.S4(NO2),PT08.S5(O3),T,RH,AH,Start,AQI_CO,AQI_NO2,AQI_O3,AQI_PM10,AQI_PM25,AQI_SO2,Overall_AQI,Overall_AQI_Smoothed
1044.0,829.0,1247.0,1378.0,832.0,7.7,59.7,0.6308,2004-03-12,32.528409232954544,77.6304347826087,9.959634965030054,54.17592592592592,77.25250357653792,0.0,77.6304347826087,86.00719061399691
988.0,718.0,1396.0,1304.0,692.0,7.1,61.8,0.6276,2004-03-12,31.392045667613637,70.17391304347827,9.959634965030054,54.17592592592592,77.25250357653792,14.285714285714286,77.25250357653792,85.99457789886276
889.0,574.0,818.0,1187.0,512.0,7.0,62.3,0.6261,2004-03-12,29.829545809659088,65.91304347826087,9.959634965030054,54.17592592592592,77.25250357653792,14.285714285714286,77.25250357653792,85.98196518372858
831.0,506.0,818.0,1134.0,384.0,6.1,65.9,0.6248,2004-03-12,28.97727286931818,61.65217391304348,9.959634965030054,54.17592592592592,77.25250357653792,0.0,77.25250357653792,85.96935246859441
847.0,501.0,818.0,1155.0,394.0,6.3,65.0,0.6233,2004-03-12,27.982954616477272,57.391304347826086,9.959634965030054,54.17592592592592,77.25250357653792,14.285714285714286,77.25250357653792,85.95673975346023
927.0,571.0,818.0,1223.0,487.0,6.8,62.9,0.6234,2004-03-12,27.13068203125,56.32608695652174,9.959634965030054,54.17592592592592,77.25250357653792,14.285714285714286,77.25250357653792,85.94412703832604
1091.0,730.0,1387.0,1361.0,748.0,6.4,65.1,0.6316,2004-03-12,27.84090930397727,58.45652173913044,9.959634965030054,54.17592592592592,77.25250357653792,30.0,77.25250357653792,85.93151432319188
1587.0,1236.0,897.0,1900.0,1400.0,7.3,63.1,0.6499,2004-03-12,30.25568176136364,82.95652173913044,9.959634965030054,54.17592592592592,77.25250357653792,0.0,82.95652173913044,85.97589838116289
1545.0,1353.0,767.0,2058.0,1588.0,9.2,56.2,0.6561,2004-03-12,32.10227259943182,91.47826086956522,9.959634965030054,54.17592592592592,77.25250357653792,37.142857142857146,91.47826086956522,85.56339348496233
1350.0,1118.0,912.0,1712.0,1237.0,13.2,41.7,0.632,2004-03-12,32.38636357954545,86.15217391304348,9.959634965030054,54.17592592592592,77.25250357653792,38.57142857142857,86.15217391304348,84.8974367673752
1263.0,1037.0,969.0,1598.0,1167.0,14.3,38.4,0.6243,2004-03-12,32.38636357954545,76.56521739130434,9.959634965030054,54.17592592592592,77.25250357653792,0.0,77.25250357653792,84.03839253233963
1206.0,986.0,1035.0,1537.0,959.0,15.0,36.5,0.6195,2004-03-12,31.96022728693182,71.23913043478261,9.959634965030054,54.17592592592592,77.25250357653792,41.42857142857143,77.25250357653792,83.44565264513017
1252.0,1016.0,1008.0,1593.0,983.0,16.1,34.5,0.6262,2004-03-12,31.392045511363637,62.71739130434783,9.959634965030054,54.17592592592592,77.25250357653792,0.0,77.25250357653792,82.98606493183374
1287.0,1078.0,949.0,1660.0,1061.0,16.3,35.7,0.656,2004-03-12,30.539772571022723,53.130434782608695,9.959634965030054,54.17592592592592,77.25250357653792,0.0,77.25250357653792,82.97345221669956
1353.0,1122.0,922.0,1740.0,1139.0,15.8,37.0,0.661,2004-03-12,28.551136065340906,56.32608695652174,9.959634965030054,54.17592592592592,77.25250357653792,34.285714285714285,77.25250357653792,82.96083950156539
1309.0,1073.0,954.0,1657.0,1112.0,15.9,37.2,0.6657,2004-03-12,25.426136335227277,60.58695652173913,9.959634965030054,54.17592592592592,77.25250357653792,32.85714285714286,77.25250357653792,82.59001990421099
1274.0,1041.0,1006.0,1610.0,994.0,16.9,34.3,0.6549,2004-03-12,23.43749982954545,72.30434782608695,9.959634965030054,54.17592592592592,77.25250357653792,0.0,77.25250357653792,82.13043219091456
1510.0,1277.0,812.0,1910.0,1410.0,15.1,39.6,0.6766,2004-03-12,23.15340884943182,95.7391304347826,9.959634965030054,54.17592592592592,77.25250357653792,0.0,95.7391304347826,82.21920030685659
1525.0,1246.0,821.0,1847.0,1448.0,14.4,43.4,0.7084,2004-03-12,23.15340884943182,98.93478260869566,9.959634965030054,54.17592592592592,77.25250357653792,28.571428571428573,98.93478260869566,82.61865682859572
1075.0,1610.0,624.0,1456.2645979312647,1887.0,12.9,50.5,0.7478,2004-03-12,23.863636122159093,101.37837837837836,9.959634965030054,54.17592592592592,77.25250357653792,28.571428571428573,101.37837837837836,83.29746607262236
1598.0,1299.0,752.0,1941.0,1627.0,12.1,53.3,0.7536,2004-03-12,25.99431811079545,102.13513513513512,9.959634965030054,54.17592592592592,77.25250357653792,0.0,102.13513513513512,83.56396626847038
1484.0,1127.0,839.0,1723.0,1491.0,11.0,59.1,0.774,2004-03-12,29.261363494318186,102.32432432432432,9.959634965030054,54.17592592592592,77.25250357653792,0.0,102.32432432432432,83.79396528923026
1075.0,1346.0,741.0,2062.0,1657.0,9.7,64.6,0.7771,2004-03-12,32.244318252840905,101.0,9.959634965030054,54.17592592592592,77.25250357653792,31.42857142857143,101.0,84.3682406515491
1280.0,964.0,963.0,1544.0,1285.0,9.5,64.1,0.7597,2004-03-13,35.08522734375,94.67391304347828,9.959634965030054,54.95959595959596,79.7464509739188,28.571428571428573,94.67391304347828,84.94523340517229
1196.0,873.0,1071.0,1463.0,1144.0,9.1,63.9,0.7423,2004-03-13,36.50568188920455,84.02173913043478,9.959634965030054,54.95959595959596,79.7464509739188,0.0,84.02173913043478,85.21153775299838
1184.0,782.0,1176.0,1365.0,1043.0,8.8,63.9,0.7256,2004-03-13,37.64204545454545,79.76086956521739,9.959634965030054,54.95959595959596,79.7464509739188,0.0,79.76086956521739,85.31605300252669
1172.0,783.0,1179.0,1380.0,996.0,7.8,67.5,0.7173,2004-03-13,38.92045433238636,71.23913043478261,9.959634965030054,54.95959595959596,79.7464509739188,21.42857142857143,79.7464509739188,85.41996747741757
1147.0,821.0,1132.0,1412.0,992.0,7.0,71.1,0.7158,2004-03-13,39.63068160511364,68.04347826086956,9.959634965030054,54.95959595959596,79.7464509739188,22.857142857142858,79.7464509739188,85.52388195230844
978.0,625.0,818.0,1274.0,819.0,8.3,63.6,0.6982,2004-03-13,38.63636335227272,68.04347826086956,9.959634965030054,54.95959595959596,79.7464509739188,28.571428571428573,79.7464509739188,85.62779642719931
1100.0,646.0,818.0,1268.0,835.0,7.2,67.5,0.6887,2004-03-13,36.50568153409091,64.84782608695653,9.959634965030054,54.95959595959596,79.7464509739188,28.571428571428573,79.7464509739188,85.73171090209019
1112.0,770.0,1228.0,1409.0,940.0,6.3,71.9,0.6932,2004-03-13,34.94318132102273,66.97826086956522,9.959634965030054,54.95959595959596,79.7464509739188,0.0,79.7464509739188,85.83562537698104
1336.0,1043.0,935.0,1678.0,1192.0,6.5,71.6,0.6945,2004-03-13,33.66477208806818,70.17391304347827,9.959634965030054,54.95959595959596,79.7464509739188,0.0,79.7464509739188,85.70187242843055
1408.0,1153.0,830.0,1777.0,1411.0,9.6,59.7,0.7124,2004-03-13,34.51704502840909,72.30434782608695,9.959634965030054,54.95959595959596,79.7464509739188,34.285714285714285,79.7464509739188,85.21304701611196
1447.0,1081.0,869.0,1667.0,1465.0,12.4,51.2,0.7335,2004-03-13,34.51704502840909,97.86956521739133,9.959634965030054,54.95959595959596,79.7464509739188,40.0,97.86956521739133,85.70127165379313
1542.0,1184.0,808.0,1780.0,1583.0,15.6,42.2,0.7451,2004-03-13,33.23863615056818,92.54347826086956,9.959634965030054,54.95959595959596,79.7464509739188,44.285714285714285,92.54347826086956,86.3383955989736
1451.0,1117.0,875.0,1679.0,1387.0,18.4,33.8,0.709,2004-03-13,32.10227258522728,77.6304347826087,9.959634965030054,54.95959595959596,79.7464509739188,44.285714285714285,79.7464509739188,86.44231007386448
1328.0,1059.0,987.0,1600.0,1101.0,19.4,31.3,0.695,2004-03-13,31.534090625,73.36956521739131,9.959634965030054,54.95959595959596,79.7464509739188,0.0,79.7464509739188,86.54622454875535
1207.0,924.0,1088.0,1488.0,850.0,18.0,34.8,0.7127,2004-03-13,30.82386335227272,70.17391304347827,9.959634965030054,54.95959595959596,79.7464509739188,0.0,79.7464509739188,86.65013902364622
1240.0,947.0,1049.0,1532.0,947.0,18.4,33.6,0.7042,2004-03-13,29.82954509943181,74.43478260869566,9.959634965030054,54.95959595959596,79.7464509739188,0.0,79.7464509739188,86.75405349853708
1306.0,987.0,1004.0,1554.0,1078.0,17.6,35.1,0.7012,2004-03-13,28.55113622159091,88.28260869565219,9.959634965030054,54.95959595959596,79.7464509739188,0.0,88.28260869565219,87.21364121183352
1326.0,1000.0,976.0,1602.0,1084.0,16.7,37.8,0.7117,2004-03-13,26.846590696022723,94.67391304347828,9.959634965030054,54.95959595959596,79.7464509739188,28.571428571428573,94.67391304347828,87.93953327295601
1473.0,1163.0,831.0,1779.0,1395.0,16.1,41.0,0.7451,2004-03-13,25.85227279829545,92.54347826086956,9.959634965030054,54.95959595959596,79.7464509739188,0.0,92.54347826086956,87.80638109904298
1609.0,1286.0,758.0,1922.0,1612.0,15.8,42.4,0.7569,2004-03-13,26.84659105113636,100.0,9.959634965030054,54.95959595959596,79.7464509739188,21.42857142857143,100.0,87.850765157014
1611.0,1274.0,754.0,1915.0,1697.0,15.7,44.1,0.7786,2004-03-13,27.556818323863634,100.0,9.959634965030054,54.95959595959596,79.7464509739188,21.42857142857143,100.0,87.79333272458156
1621.0,1247.0,762.0,1860.0,1886.0,15.3,46.8,0.8091,2004-03-13,27.84090930397727,94.67391304347828,9.959634965030054,54.95959595959596,79.7464509739188,0.0,94.67391304347828,87.48244847076252
1444.0,1089.0,844.0,1748.0,1624.0,14.6,48.6,0.806,2004-03-13,28.69318224431818,88.28260869565219,9.959634965030054,54.95959595959596,79.7464509739188,0.0,88.28260869565219,86.89737698623452
1418.0,1010.0,892.0,1603.0,1536.0,14.7,49.3,0.8193,2004-03-13,29.82954616477273,88.28260869565219,9.959634965030054,54.95959595959596,79.7464509739188,15.714285714285715,88.28260869565219,86.3674856818867
1534.0,1013.0,889.0,1611.0,1535.0,13.9,53.6,0.8498,2004-03-14,30.68181875,87.21739130434783,9.959634965030054,54.994949494949495,81.73390557939915,11.428571428571429,87.21739130434783,86.0567972760896
1484.0,1045.0,880.0,1624.0,1530.0,14.6,51.5,0.8536,2004-03-14,31.39204602272727,86.15217391304348,9.959634965030054,54.994949494949495,81.73390557939915,0.0,86.15217391304348,86.14556539203163
1367.0,925.0,953.0,1543.0,1337.0,12.5,58.9,0.8537,2004-03-14,32.24431860795455,85.08695652173913,9.959634965030054,54.994949494949495,81.73390557939915,14.285714285714286,85.08695652173913,86.3674856818867
1344.0,968.0,921.0,1620.0,1278.0,11.6,63.4,0.8674,2004-03-14,31.960227627840908,72.30434782608695,9.959634965030054,54.994949494949495,81.73390557939915,11.428571428571429,81.73390557939915,86.45029629044838
1130.0,773.0,1130.0,1452.0,1051.0,12.1,61.1,0.8603,2004-03-14,31.250000355113634,47.16981132075472,9.959634965030054,54.994949494949495,81.73390557939915,0.0,81.73390557939915,86.53310689901006
1062.0,691.0,1272.0,1377.0,929.0,11.5,63.1,0.8533,2004-03-14,30.8238640625,39.62264150943396,9.959634965030054,54.994949494949495,81.73390557939915,7.142857142857143,81.73390557939915,86.61591750757174
1076.0,618.0,1395.0,1333.0,872.0,11.6,62.2,0.8473,2004-03-14,29.829545809659088,29.245283018867926,9.959634965030054,54.994949494949495,81.73390557939915,8.571428571428571,81.73390557939915,86.69872811613341
1028.0,615.0,1384.0,1340.0,853.0,10.4,67.6,0.853,2004-03-14,28.693181889204546,32.075471698113205,9.959634965030054,54.994949494949495,81.73390557939915,0.0,81.73390557939915,86.78153872469511
1155.0,722.0,1225.0,1414.0,959.0,11.6,62.7,0.853,2004-03-14,28.12500028409091,40.56603773584906,9.959634965030054,54.994949494949495,81.73390557939915,11.428571428571429,81.73390557939915,86.86434933325678
1235.0,828.0,1055.0,1527.0,1093.0,12.4,60.0,0.8627,2004-03-14,27.27272734375,38.67924528301887,9.959634965030054,54.994949494949495,81.73390557939915,14.285714285714286,81.73390557939915,86.94715994181847
1332.0,923.0,952.0,1614.0,1225.0,14.5,53.1,0.8728,2004-03-14,26.420454758522727,37.735849056603776,9.959634965030054,54.994949494949495,81.73390557939915,0.0,81.73390557939915,86.27484079023544
1445.0,1009.0,878.0,1696.0,1355.0,16.9,46.1,0.8789,2004-03-14,25.99431846590909,37.735849056603776,9.959634965030054,54.994949494949495,81.73390557939915,18.571428571428573,81.73390557939915,85.82444192850751
1416.0,1002.0,907.0,1677.0,1262.0,19.3,38.3,0.8474,2004-03-14,26.420454758522727,38.67924528301887,9.959634965030054,54.994949494949495,81.73390557939915,22.857142857142858,81.73390557939915,85.90725253706921
1281.0,880.0,1084.0,1525.0,980.0,21.2,31.4,0.7812,2004-03-14,26.70454573863636,48.11320754716981,9.959634965030054,54.994949494949495,81.73390557939915,27.142857142857142,81.73390557939915,85.99006314563088
1207.0,879.0,1104.0,1490.0,872.0,21.4,30.2,0.7616,2004-03-14,26.84659105113636,37.735849056603776,9.959634965030054,54.994949494949495,81.73390557939915,30.0,81.73390557939915,86.07287375419257
1258.0,906.0,1081.0,1511.0,900.0,21.9,29.0,0.7525,2004-03-14,26.84659105113636,30.18867924528302,9.959634965030054,54.994949494949495,81.73390557939915,31.42857142857143,81.73390557939915,86.15568436275424
1458.0,1045.0,974.0,1646.0,1099.0,22.2,28.4,0.7516,2004-03-14,26.562500071022725,37.735849056603776,9.959634965030054,54.994949494949495,81.73390557939915,27.142857142857142,81.73390557939915,85.88282173291037
1438.0,1051.0,943.0,1668.0,1206.0,21.3,30.8,0.7696,2004-03-14,25.85227279829545,42.45283018867924,9.959634965030054,54.994949494949495,81.73390557939915,27.142857142857142,81.73390557939915,85.3436547552404
1478.0,1055.0,929.0,1671.0,1262.0,19.7,36.7,0.8307,2004-03-14,25.568181818181817,47.16981132075472,9.959634965030054,54.994949494949495,81.73390557939915,24.285714285714285,81.73390557939915,84.89325589351247
1075.0,1312.0,753.0,1993.0,1698.0,18.4,41.7,0.8732,2004-03-14,25.426136150568183,58.45652173913044,9.959634965030054,54.994949494949495,81.73390557939915,21.42857142857143,81.73390557939915,84.13216862598743
1075.0,1381.0,681.0,2103.0,1905.0,17.6,46.1,0.921,2004-03-14,25.28409083806818,72.30434782608695,9.959634965030054,54.994949494949495,81.73390557939915,24.285714285714285,81.73390557939915,83.3710813584624
1560.0,1140.0,784.0,1818.0,1648.0,16.7,49.6,0.932,2004-03-14,25.426136150568183,70.17391304347827,9.959634965030054,54.994949494949495,81.73390557939915,27.142857142857142,81.73390557939915,82.83191438079244
1324.0,940.0,924.0,1587.0,1423.0,16.3,51.0,0.9341,2004-03-14,25.71022713068182,61.65217391304348,9.959634965030054,54.994949494949495,81.73390557939915,28.571428571428573,81.73390557939915,82.55905175094857
1349.0,933.0,933.0,1617.0,1349.0,14.7,55.9,0.9314,2004-03-14,26.13636377840909,63.78260869565217,9.959634965030054,54.994949494949495,81.73390557939915,25.714285714285715,81.73390557939915,82.2861891211047
1239.0,872.0,985.0,1547.0,1250.0,14.8,54.7,0.9164,2004-03-15,26.27840909090909,59.52173913043478,9.959634965030054,55.81750841750842,83.45636623748213,21.42857142857143,83.45636623748213,82.12947974331861
1239.0,853.0,1010.0,1543.0,1174.0,14.0,57.0,0.9094,2004-03-15,26.27840909090909,47.16981132075472,9.959634965030054,55.81750841750842,83.45636623748213,0.0,83.45636623748213,82.01715442350356
1224.0,855.0,998.0,1566.0,1149.0,13.4,61.3,0.9361,2004-03-15,26.136363423295453,46.22641509433962,9.959634965030054,55.81750841750842,83.45636623748213,15.714285714285715,83.45636623748213,81.94921316165953
1078.0,734.0,1128.0,1487.0,1021.0,12.6,63.5,0.923,2004-03-15,25.85227244318181,56.32608695652174,9.959634965030054,55.81750841750842,83.45636623748213,14.285714285714286,83.45636623748213,82.02098235574631
1078.0,711.0,1150.0,1468.0,1013.0,12.3,65.4,0.9351,2004-03-15,25.284090482954547,53.130434782608695,9.959634965030054,55.81750841750842,83.45636623748213,12.857142857142858,83.45636623748213,82.09275154983311
1075.0,703.0,1156.0,1464.0,1010.0,11.9,67.4,0.9375,2004-03-15,24.715908522727272,46.22641509433962,9.959634965030054,55.81750841750842,83.45636623748213,12.857142857142858,83.45636623748213,82.1645207439199
1157.0,830.0,1030.0,1584.0,1083.0,11.4,70.5,0.9475,2004-03-15,24.99999950284091,38.67924528301887,9.959634965030054,55.81750841750842,83.45636623748213,12.857142857142858,83.45636623748213,82.23628993800669
1314.0,966.0,897.0,1710.0,1235.0,11.3,70.2,0.9401,2004-03-15,26.562499360795456,46.22641509433962,9.959634965030054,55.81750841750842,83.45636623748213,15.714285714285715,83.45636623748213,82.30805913209348
1075.0,1451.0,652.0,1456.2645979312647,1680.0,12.4,63.9,0.917,2004-03-15,30.11363606534091,59.52173913043478,9.959634965030054,55.81750841750842,83.45636623748213,24.285714285714285,83.45636623748213,82.37982832618026
1075.0,923.0,537.0,1456.2645979312647,983.0,14.8,54.3,0.9076,2004-03-15,32.528408863636365,64.84782608695653,9.959634965030054,55.81750841750842,83.45636623748213,24.285714285714285,83.45636623748213,82.45159752026706
1075.0,1470.0,622.0,2262.0,1973.0,17.4,45.6,0.8993,2004-03-15,33.66477278409091,63.78260869565217,9.959634965030054,55.81750841750842,83.45636623748213,0.0,83.45636623748213,82.52336671435384
1564.0,1300.0,710.0,2029.0,1798.0,19.8,38.5,0.8801,2004-03-15,34.23295474431818,80.82608695652175,9.959634965030054,55.81750841750842,83.45636623748213,0.0,83.45636623748213,82.59513590844064
1430.0,1120.0,831.0,1783.0,1522.0,22.0,34.1,0.8904,2004-03-15,34.65909103693181,78.69565217391305,9.959634965030054,55.81750841750842,83.45636623748213,42.85714285714286,83.45636623748213,82.66690510252742
1417.0,1146.0,830.0,1831.0,1404.0,23.3,32.2,0.9096,2004-03-15,35.08522768465909,81.8913043478261,9.959634965030054,55.81750841750842,83.45636623748213,58.53846153846154,83.45636623748213,82.73867429661422
1400.0,1162.0,838.0,1829.0,1263.0,23.9,30.0,0.8757,2004-03-15,34.80113670454545,80.82608695652175,9.959634965030054,55.81750841750842,83.45636623748213,0.0,83.45636623748213,82.81044349070102
1317.0,1053.0,926.0,1707.0,1137.0,24.4,28.9,0.8736,2004-03-15,32.95454586647727,74.43478260869566,9.959634965030054,55.81750841750842,83.45636623748213,53.51282051282051,83.45636623748213,82.8822126847878
1318.0,1033.0,950.0,1675.0,1068.0,24.4,29.4,0.8848,2004-03-15,29.261363849431817,73.36956521739131,9.959634965030054,55.81750841750842,83.45636623748213,45.71428571428572,83.45636623748213,82.95398187887459
1445.0,1141.0,857.0,1824.0,1252.0,23.8,31.3,0.9137,2004-03-15,27.13068203125,84.02173913043478,9.959634965030054,55.81750841750842,83.45636623748213,0.0,84.02173913043478,83.04930827683441
1075.0,1601.0,631.0,1456.2645979312647,1843.0,22.5,35.4,0.9547,2004-03-15,26.562500071022725,91.47826086956522,9.959634965030054,55.81750841750842,83.45636623748213,35.714285714285715,91.47826086956522,83.45532308059133
1075.0,923.0,542.0,1456.2645979312647,983.0,20.4,42.5,1.0086,2004-03-15,27.27272734375,104.4054054054054,9.959634965030054,55.81750841750842,83.45636623748213,0.0,104.4054054054054,84.39996890667493
1075.0,1573.0,565.0,1456.2645979312647,1992.0,18.3,52.6,1.0945,2004-03-15,31.960227272727277,108.0,9.959634965030054,55.81750841750842,83.45636623748213,0.0,108.0,85.4943895075333
1595.0,1294.0,678.0,2058.0,1707.0,16.7,57.4,1.0786,2004-03-15,34.23295440340909,105.72972972972973,9.959634965030054,55.81750841750842,83.45636623748213,0.0,105.72972972972973,86.49421551379707
1439.0,1159.0,764.0,1856.0,1494.0,15.7,60.2,1.0654,2004-03-15,37.78409110795455,104.2162162162162,9.959634965030054,55.81750841750842,83.45636623748213,0.0,104.2162162162162,87.43097845699778
1142.0,852.0,1008.0,1547.0,1164.0,15.3,61.4,1.058,2004-03-15,40.76704585227272,102.13513513513512,9.959634965030054,55.81750841750842,83.45636623748213,22.857142857142858,102.13513513513512,88.28102968848678
1304.0,1019.0,852.0,1731.0,1272.0,14.1,65.7,1.0494,2004-03-16,43.75000059659091,93.6086956521739,9.959634965030054,56.81565656565657,86.14645922746782,20.0,93.6086956521739,88.70404341409893
1074.0,784.0,1098.0,1483.0,1040.0,14.8,60.6,1.0148,2004-03-16,46.022728082386365,76.56521739130434,9.959634965030054,56.81565656565657,86.14645922746782,0.0,86.14645922746782,88.81613062201501
968.0,640.0,1320.0,1386.0,867.0,14.8,59.2,0.9879,2004-03-16,47.44318262784091,63.78260869565217,9.959634965030054,56.81565656565657,86.14645922746782,14.285714285714286,86.14645922746782,88.92821782993109
929.0,608.0,1376.0,1364.0,826.0,13.6,62.1,0.9636,2004-03-16,47.01704633522728,57.391304347826086,9.959634965030054,56.81565656565657,86.14645922746782,14.285714285714286,86.14645922746782,89.04030503784715
